CityName;Latitude;Longitude;PostalCode;CountryCode
Alzenau in Unterfranken;50.0894;9.05874;63755;DE
Alzey;49.7462;8.11711;55232;DE
Am Großen Bruch;52.064;11.0767;39393;DE
Am Großen Bruch;52.0182;11.1422;39387;DE
Am Großen Bruch Gunsleben;52.0484;11.0365;39393;DE
Am Großen Bruch Hamersleben;52.0619;11.085;39393;DE
Am Großen Bruch Neuwegersleben;52.0191;11.1284;39387;DE
Amberg;49.4403;11.8633;92224;DE
Amberg;48.0613;10.6819;86854;DE
Amelinghausen;53.1251;10.2124;21385;DE
Amerang;48.0026;12.3057;83123;DE
Amerdingen;48.7261;10.4853;86735;DE
Amesdorf;51.7802;11.5998;39439;DE
Ammeldingen an der Our;49.8896;6.25509;54675;DE
Ammeldingen bei Neuerburg;50.0477;6.27512;54673;DE
Ammerbuch;48.555;8.96822;72119;DE
Ammerndorf;49.4211;10.8529;90614;DE
Ammersbek;53.7064;10.2209;22949;DE
Ammerthal;49.4407;11.7625;92260;DE
Amöneburg;50.7977;8.92199;35287;DE
Amorbach;49.6443;9.21911;63916;DE
Ampfing;48.2541;12.4132;84539;DE
Ampfurth;52.0621;11.314;39387;DE
Amsdorf;51.4647;11.7285;06317;DE
Amstetten;48.5762;9.8741;73340;DE
Amt Neuhaus;53.2861;10.9289;19273;DE
Amtsberg;50.7342;13.0109;09439;DE
Amtzell;47.7069;9.75058;88279;DE
Andechs;47.9669;11.1844;82346;DE
Andenhausen;50.6669;10.075;36452;DE
Anderbeck;51.9831;10.9335;38836;DE
Anderlingen;53.3729;9.30227;27446;DE
Andernach;50.4261;7.40866;56626;DE
Andervenne;52.509;7.5714;49832;DE
Andisleben;51.0825;10.9282;99189;DE
Angelbachtal;49.2298;8.77753;74918;DE
Angelburg;50.8068;8.4331;35719;DE
Angelroda;50.7436;10.8652;99338;DE
Anger;47.8033;12.858;83454;DE
Angermünde;53.0145;13.9966;16278;DE
Angern;52.3603;11.7297;39326;DE
Angersdorf;51.4584;11.9031;06179;DE
Anhausen;50.4981;7.55318;56584;DE
Ankershagen;53.4811;12.9648;17219;DE
Anklam;53.8503;13.696;17389;DE
Ankum;52.5412;7.87134;49577;DE
Annaberg-Buchholz;50.5786;13.0076;09456;DE
Annaburg;51.7307;13.0445;06925;DE
Annarode;51.5831;11.4924;06308;DE
Anning bei Sankt Georgen Chiemgau;47.9733;12.5727;83368;DE
Annweiler am Trifels;49.2033;7.96667;76855;DE
Anröchte;51.5622;8.32562;59609;DE
Anrode;51.2563;10.3592;99976;DE
Ansbach;49.3004;10.5719;91522;DE
Anschau;50.2978;7.09277;56729;DE
Antdorf;47.7495;11.3085;82387;DE
Antrifttal;50.7949;9.18424;36326;DE
Antweiler;50.4059;6.82882;53533;DE
Anzing;48.1515;11.8535;85646;DE
Apelern;52.2906;9.33486;31552;DE
Apelern Apelern;52.2876;9.34022;31552;DE
Apelern Groß Hegesdorf;52.3088;9.30608;31552;DE
Apelern Kleinhegesdorf;52.3178;9.32304;31552;DE
Apelern Lyhren;52.3014;9.31838;31552;DE
Apelern Reinsdorf;52.2874;9.2881;31552;DE
Apelern Soldorf;52.3082;9.32518;31552;DE
Apen;53.2208;7.80886;26689;DE
Apensen;53.4358;9.61556;21641;DE
Apfeldorf;47.892;10.935;86974;DE
Apfelstädt;50.8892;10.8789;99192;DE
Apfeltrach;48.018;10.4956;87742;DE
Apolda;51.026;11.5155;99510;DE
Appel;53.3905;9.7435;21279;DE
Appeln;53.453;8.89673;27616;DE
Appen;53.6596;9.74246;25482;DE
Appenheim;49.9304;8.03288;55437;DE
Appenweier;48.5477;7.9745;77767;DE
Arbach;50.2839;7.04478;56769;DE
Arberg;49.1446;10.6173;91722;DE
Aremberg;50.4146;6.80765;53533;DE
Arendsee;52.8865;11.5061;39619;DE
Arenrath;49.954;6.74036;54518;DE
Arensdorf;51.708;12.0131;06369;DE
Arenshausen;51.3761;9.96939;37318;DE
Arenzhain;51.6734;13.501;03253;DE
Aresing;48.5317;11.2966;86561;DE
Arft;50.3825;7.08232;56729;DE
Argenbühl;47.6878;9.95761;88260;DE
Argenschwang;49.8804;7.69922;55595;DE
Argenthal;49.9714;7.59823;55496;DE
Arholzen;51.867;9.57027;37627;DE
Arkebek;54.1601;9.2502;25767;DE
Arlewatt;54.5392;9.08363;25860;DE
Armsheim;49.8108;8.06262;55288;DE
Armstedt;53.9707;9.85173;24616;DE
Armstorf;53.5978;9.0743;21769;DE
Arnbruck;49.1308;12.9984;93471;DE
Arneburg;52.6752;12.002;39596;DE
Arnis;54.6307;9.93225;24376;DE
Arnis;54.6307;9.93225;24399;DE
Arnsberg;51.3743;8.06618;59821;DE
Arnsberg;51.4363;8.00916;59759;DE
Arnsberg;51.4249;7.94455;59757;DE
Arnsberg;51.4181;8.04533;59823;DE
Arnsberg;51.4522;7.97203;59755;DE
Arnschwang;49.2764;12.8154;93473;DE
Arnsdorf;51.0944;13.9905;01477;DE
Arnsgereuth;50.609;11.3159;07318;DE
Arnshöfen;50.5397;7.86828;56244;DE
Arnstadt;50.8409;10.9505;99310;DE
Arnstedt;51.6895;11.4984;06333;DE
Arnstein;49.9768;9.97118;97450;DE
Arnstorf;48.558;12.8178;94424;DE
Arpsdorf;54.0388;9.8588;24634;DE
Arrach;49.1909;12.9942;93474;DE
Artern;51.3674;11.2955;06556;DE
Artlenburg;53.3712;10.4859;21380;DE
Arzbach;50.3791;7.74893;56337;DE
Arzberg;51.5287;13.1258;04886;DE
Arzberg;50.0578;12.1894;95659;DE
Arzfeld;50.088;6.27208;54687;DE
Asbach;49.8126;7.27849;55758;DE
Asbach;50.6641;7.42349;53567;DE
Asbach-Bäumenheim;48.6885;10.825;86663;DE
Asbach-Sickenberg;51.2801;10.031;37318;DE
Ascha;48.9975;12.6374;94347;DE
Aschaffenburg;49.9952;9.11551;63741;DE
Aschaffenburg;49.9782;9.16654;63739;DE
Aschaffenburg;49.9497;9.16719;63743;DE
Aschau am Inn;48.1973;12.3487;84544;DE
Aschau im Chiemgau;47.7771;12.3225;83229;DE
Aschbach;49.6012;7.57613;67753;DE
Ascheberg;54.1509;10.3409;24326;DE
Ascheberg;51.7897;7.61666;59387;DE
Ascheffel;54.4309;9.69831;24358;DE
Aschenhausen;50.5985;10.2018;98634;DE
Aschersleben;51.7591;11.4619;06449;DE
Aschersleben Aschersleben;51.7571;11.4657;06449;DE
Aschersleben Klein Schierstedt;51.7541;11.5457;06449;DE
Aschersleben Winningen;51.8228;11.4526;06449;DE
Aschheim;48.1853;11.7204;85609;DE
Aseleben;51.4885;11.6706;06317;DE
Asendorf;53.2904;9.97921;21271;DE
Asendorf;52.7583;8.99969;27330;DE
Aßlar;50.5895;8.46686;35614;DE
Aßling;47.9922;12.0053;85617;DE
Aspach;48.9926;9.39585;71546;DE
Aspach;50.9531;10.5974;99880;DE
Aspenstedt;51.9354;10.95;38822;DE
Asperg;48.9065;9.14113;71679;DE
Aspisheim;49.9065;7.9811;55459;DE
Assamstadt;49.4272;9.6892;97959;DE
Asselfingen;48.5298;10.1915;89176;DE
Ast Gemeinde Frauenneuharting;48.0163;12.0167;83565;DE
Astert;50.6932;7.78051;57627;DE
Ateritz;51.7382;12.6329;06901;DE
Athenstedt;51.9378;10.9101;38822;DE
Attendorn;51.1314;7.90494;57439;DE
Attenhausen;50.2919;7.87532;56370;DE
Attenhofen;48.6511;11.847;84091;DE
Attenkirchen;48.5065;11.7587;85395;DE
Attenweiler;48.1356;9.69878;88448;DE
Atterwasch;51.9241;14.6263;03172;DE
Atting;48.8941;12.4884;94348;DE
Atzelgift;50.6968;7.82551;57629;DE
Atzendorf;51.9209;11.5968;39443;DE
Au;47.956;7.82927;79280;DE
Au am Rhein;48.9517;8.23666;76474;DE
Au in der Hallertau;48.559;11.7376;84072;DE
Aub;49.553;10.0662;97239;DE
Aubstadt;50.3329;10.435;97633;DE
Auderath;50.1869;7.00247;56766;DE
Aue;50.6251;12.6824;08280;DE
Auel;50.1712;7.76621;56357;DE
Auen;49.8312;7.59772;55569;DE
Auengrund;50.4732;10.8464;98673;DE
Auenwald;48.9334;9.52344;71549;DE
Auerbach;50.6877;12.9122;09392;DE
Auerbach;48.8035;13.1004;94530;DE
Auerbach in der Oberpfalz;49.6918;11.6287;91275;DE
Auerbach/Vogtland;50.508;12.3981;08209;DE
Auerstedt;51.0992;11.5887;99518;DE
Auetal;52.2434;9.25983;31749;DE
Auetal Altenhagen;52.2611;9.27285;31749;DE
Auetal Antendorf;52.24;9.29357;31749;DE
Auetal Bernsen;52.2215;9.17127;31749;DE
Auetal Borstel;52.2297;9.18649;31749;DE
Auetal Escher;52.2379;9.26558;31749;DE
Auetal Hattendorf;52.2343;9.28092;31749;DE
Auetal Kathrinhagen;52.2392;9.20216;31749;DE
Auetal Klein Holtensen;52.2622;9.28811;31749;DE
Auetal Poggenhagen;52.2331;9.20507;31749;DE
Auetal Raden;52.2299;9.30757;31749;DE
Auetal Rannenberg;52.2158;9.24588;31749;DE
Auetal Rehren A.O.;52.2339;9.23608;31749;DE
Auetal Rolfshagen;52.2349;9.15432;31749;DE
Auetal Schoholtensen;52.2677;9.28638;31749;DE
Auetal Westerwald;52.2517;9.24134;31749;DE
Auetal Wiersen;52.2655;9.30621;31749;DE
Aufhausen;48.8719;12.2815;93089;DE
Aufseß;49.8843;11.2264;91347;DE
Auggen;47.7881;7.59097;79424;DE
Augsburg;48.3719;10.895;86152;DE
Augsburg;48.3552;10.9444;86163;DE
Augsburg;48.3921;10.8554;86156;DE
Augsburg;48.4177;10.9046;86169;DE
Augsburg;48.3657;10.8943;86150;DE
Augsburg;48.3459;10.9161;86161;DE
Augsburg;48.3924;10.8784;86154;DE
Augsburg;48.3931;10.9246;86167;DE
Augsburg;48.345;10.8994;86159;DE
Augsburg;48.3173;10.8461;86199;DE
Augsburg;48.3809;10.8936;86153;DE
Augsburg;48.3815;10.9397;86165;DE
Augsburg;48.3632;10.8671;86157;DE
Augsburg;48.3101;10.9218;86179;DE
Augsdorf;51.6017;11.5692;06308;DE
Augustdorf;51.9092;8.74364;32832;DE
Augustenkoog;54.3835;8.71567;25881;DE
Augustusburg;50.812;13.1023;09573;DE
Auhagen;52.3936;9.28402;31553;DE
Auhagen Auhagen;52.3932;9.28496;31553;DE
Auhagen Düdinghausen;52.4138;9.29722;31553;DE
Auhausen;49.0082;10.6224;86736;DE
Aukrug;54.086;9.78923;24613;DE
Auleben;51.4266;10.9331;99765;DE
Aulendorf;47.9502;9.63779;88326;DE
Aull;50.3866;8.00532;65582;DE
Aulosen;52.9918;11.582;39615;DE
Auma;50.7;11.9;07955;DE
Aumühle;53.5252;10.3153;21521;DE
Aura an der Saale;50.1623;10.0083;97717;DE
Aura im Sinngrund;50.1763;9.57429;97773;DE
Aurach;49.2464;10.4155;91589;DE
Aurachtal;49.5753;10.8222;91086;DE
Aurich;53.4668;7.53823;26605;DE
Aurich;53.4728;7.4858;26603;DE
Aurich;53.5211;7.53883;26607;DE
Aurich Brockzetel;53.4847;7.6415;26605;DE
Aurich Egels;53.4677;7.52126;26605;DE
Aurich Haxtum;53.4605;7.4589;26605;DE
Ausacker;54.7392;9.57488;24975;DE
Außernzell;48.724;13.2027;94532;DE
Ausleben;52.0864;11.1196;39393;DE
Auufer;53.9147;9.6896;25548;DE
Auw an der Kyll;49.9015;6.61515;54664;DE
Auw bei Prüm;50.3002;6.33795;54597;DE
Aventoft;54.8998;8.81914;25927;DE
Averlak;53.9394;9.18443;25715;DE
Axien;51.7016;12.8906;06922;DE
Axstedt;53.3554;8.77322;27729;DE
Aying;47.97;11.7766;85653;DE
Ayl;49.63;6.55582;54441;DE
Aystetten;48.4052;10.7762;86482;DE
Baabe;54.3604;13.7049;18586;DE
Baalberge;51.7637;11.7972;06408;DE
Baar;48.5835;10.9692;86674;DE
Baar;50.3466;7.05049;56729;DE
Baar-Ebenhausen;48.6762;11.4648;85107;DE
Baasdorf;51.708;11.9809;06388;DE
Babben;51.7097;13.7846;03246;DE
Baben;52.6971;11.8904;39596;DE
Babenhausen;49.9594;8.9589;64832;DE
Babenhausen;48.1437;10.2516;87727;DE
Babensham;48.0821;12.2678;83547;DE
Bach an der Donau;49.0227;12.3034;93090;DE
Bacharach;50.0604;7.76811;55422;DE
Bachenberg;50.7143;7.64576;57610;DE
Bachfeld;50.4085;10.9804;96528;DE
Bachhagel;48.6329;10.3199;89429;DE
Bächingen an der Brenz;48.5462;10.3123;89431;DE
Backnang;48.9471;9.43418;71522;DE
Bad Abbach;48.9373;12.0463;93077;DE
Bad Aibling;47.864;12.0093;83043;DE
Bad Alexandersbad;50.0172;12.0147;95680;DE
Bad Arolsen;51.3799;9.01255;34454;DE
Bad Bayersoien;47.6926;10.992;82435;DE
Bad Bederkesa;53.6221;8.83989;27624;DE
Bad Bellingen;47.7319;7.55697;79415;DE
Bad Bentheim;52.301;7.15785;48455;DE
Bad Bergzabern;49.1004;7.99988;76887;DE
Bad Berka;50.8983;11.2816;99438;DE
Bad Berleburg;51.0516;8.39263;57319;DE
Bad Berleburg Alertshausen;51.0557;8.5182;57319;DE
